GroupID,name,noriire,ido,keido,nouse
1130101,東京,14,139.76597618181813,35.68142390909091,20
1130102,新橋,13,139.7588392857143,35.66618485714286,15
1130103,品川,11,139.73884750000002,35.62868066666667,14
1130201,大崎,6,139.728439,35.619772,8
1130202,五反田,5,139.72405733333332,35.62611266666667,5
1130203,目黒,5,139.71556875,35.63343475,8
1130204,恵比寿,8,139.7097995,35.646846749999995,8
1130205,渋谷,14,139.7014806,35.6589426,14
1130206,原宿,2,139.702592,35.670646,6
1130206,明治神宮前〈原宿〉,4,139.704681,35.668784,4
1130207,代々木,6,139.70191666666668,35.68311333333333,11
1130208,新宿,22,139.70002866666667,35.68995258333333,37
1130208,新線新宿,1,139.698812,35.68869,1
1130209,新大久保,2,139.700261,35.700875,2
1130210,高田馬場,6,139.70405833333334,35.71289733333333,6
1130211,目白,2,139.706228,35.720476,2
1130212,池袋,14,139.7106608888889,35.730262555555555,18
1130213,大塚,2,139.728584,35.731412,10
1130213,大塚駅前,2,139.729593,35.732082,2
1130214,巣鴨,4,139.738911,35.7334735,7
1130215,駒込,4,139.74724750000001,35.736892,5
1130216,田端,4,139.761229,35.737781,4
1130217,西日暮里,8,139.76677049999998,35.73202975,8
1130218,日暮里,11,139.771287,35.727908000000006,16
1130219,鶯谷,4,139.778015,35.721484,4
1130220,上野,12,139.77706275,35.713213,19
1130221,御徒町,4,139.774727,35.707282,11
1130221,仲御徒町,2,139.776138,35.706649,2
1130221,上野広小路,2,139.772877,35.70768,2
1130221,上野御徒町,2,139.774332,35.707893,2
1130222,秋葉原,9,139.7739192,35.6985816,9
1130223,神田,8,139.77070550000002,35.6917765,8
1130225,日比谷,6,139.75963333333334,35.67495566666667,6
1130225,有楽町,6,139.76362566666666,35.675532000000004,6
1130227,浜松町,5,139.75700566666666,35.65548266666667,5
1130228,田町,4,139.747575,35.645736,10
1130230,高輪ゲートウェイ,2,139.7407,35.6355,2
1130317,矢野口,1,139.520849,35.641305,1
1130318,稲城長沼,2,139.502811,35.644184,2
1130319,南多摩,2,139.489781,35.649249,2
1130320,府中本町,3,139.477142,35.665766,3
1130321,分倍河原,4,139.468798,35.668493,4
1130322,谷保,2,139.446724,35.681377,2
1130323,矢川,2,139.431611,35.685079,2
1130324,西国立,2,139.423887,35.69375,2
1130325,立川,8,139.413704,35.698202,14
1130329,西府,2,139.457477,35.670912,2
1130502,北府中,2,139.471792,35.68088,2
1130503,西国分寺,4,139.465994,35.699744,4
1130504,新小平,2,139.470745,35.73128,2
1130505,新秋津,1,139.493592,35.778331,1
1130610,成瀬,1,139.472875,35.535412,1
1130611,町田,2,139.4454075,35.543113,3
1130617,相原,1,139.33169,35.60694,1
1130618,八王子みなみ野,2,139.330678,35.630664,2
1130619,片倉,2,139.34119,35.639704,4
1130620,八王子,8,139.338998,35.655555,14
1130804,西大井,2,139.721729,35.601616,2
1131102,四ツ谷,10,139.7302858,35.6857482,10
1131104,吉祥寺,9,139.5798732,35.7029534,9
1131105,三鷹,7,139.560325,35.702683,9
1131106,国分寺,8,139.4805822,35.700265599999994,11
1131108,日野,4,139.39393,35.679244,4
1131109,豊田,4,139.381495,35.659502,4
1131111,西八王子,4,139.31264,35.656621,4
1131112,高尾,5,139.28210375,35.64193075,5
1131203,淡路町,2,139.767575,35.695434,2
1131203,御茶ノ水,6,139.76462066666667,35.69994133333333,8
1131203,新御茶ノ水,2,139.766014,35.698072,2
1131214,中野,5,139.665835,35.705765,15
1131215,高円寺,4,139.649664,35.705326,7
1131216,阿佐ケ谷,4,139.635868,35.704818,6
1131217,荻窪,5,139.62011133333334,35.70445,7
1131218,西荻窪,4,139.599361,35.703842,4
1131221,武蔵境,3,139.543402,35.702083,3
1131222,東小金井,2,139.524837,35.701643,2
1131223,武蔵小金井,2,139.506483,35.701337,2
1131226,国立,2,139.44634,35.69923,6
1131308,東中野,4,139.68371150000002,35.70671,4
1131309,大久保,2,139.69732,35.700784,4
1131312,千駄ケ谷,2,139.711644,35.681231,2
1131313,信濃町,2,139.720729,35.680031,2
1131315,市ケ谷,6,139.736074,35.691787,6
1131315,市ヶ谷,2,139.737639,35.691556,2
1131316,飯田橋,10,139.7446932,35.702071000000004,10
1131317,水道橋,4,139.75473599999998,35.7027185,4
1131320,浅草橋,4,139.785366,35.697427000000005,4
1131321,両国,4,139.7953775,35.6963355,4
1131322,錦糸町,6,139.81440433333333,35.697060666666665,6
1131323,亀戸,3,139.8265265,35.697526499999995,4
1131324,平井,2,139.842181,35.70643,2
1131325,新小岩,3,139.857777,35.716903,3
1131326,小岩,1,139.881755,35.733207,5
1131402,三越前,4,139.7733705,35.686004499999996,4
1131402,新日本橋,2,139.77323,35.688687,2
1131403,馬喰町,2,139.78238,35.693365,2
1131403,馬喰横山,2,139.782768,35.69212,2
1131403,東日本橋,2,139.784821,35.692126,2
1131502,西立川,2,139.393556,35.703526,2
1131503,東中神,2,139.384529,35.706337,2
1131504,中神,2,139.375816,35.709058,3
1131505,昭島,2,139.361564,35.713305,2
1131506,拝島,6,139.343468,35.721278,6
1131507,牛浜,2,139.333677,35.734547,2
1131508,福生,2,139.327763,35.742456,4
1131509,羽村,2,139.316188,35.758073,2
1131510,小作,2,139.302233,35.776048,2
1131511,河辺,2,139.284032,35.78473,2
1131512,東青梅,2,139.272841,35.789768,2
1131513,青梅,2,139.258096,35.790512,5
1131514,宮ノ平,2,139.237289,35.787545,2
1131515,日向和田,2,139.229515,35.788665,2
1131516,石神前,2,139.225096,35.79683,2
1131517,二俣尾,2,139.216161,35.803946,2
