fromID,fromGroupID,fromName,fromIdo,fromKeido,toID,toGroupID,toName,toIdo,toKeido,time,routeID,routeName,r,g,b
1130801,1130101,東京,139.766103,35.681391,1130802,1130102,新橋,139.758587,35.666195,2,11308,JR横須賀線,43,101,186
1130802,1130102,新橋,139.758587,35.666195,1130803,1130103,品川,139.738999,35.62876,4,11308,JR横須賀線,43,101,186
1130803,1130103,品川,139.738999,35.62876,1130804,1130804,西大井,139.721729,35.601616,4,11308,JR横須賀線,43,101,186
1131101,1130101,東京,139.766103,35.681391,1131102,1131102,四ツ谷,139.730644,35.686041,9,11311,JR中央本線(東京～塩尻),223,100,54
1131102,1131102,四ツ谷,139.730644,35.686041,1131103,1130208,新宿,139.700464,35.689729,6,11311,JR中央本線(東京～塩尻),223,100,54
1131103,1130208,新宿,139.700464,35.689729,1131104,1131104,吉祥寺,139.579765,35.703119,15,11311,JR中央本線(東京～塩尻),223,100,54
1131104,1131104,吉祥寺,139.579765,35.703119,1131105,1131105,三鷹,139.560325,35.702683,2,11311,JR中央本線(東京～塩尻),223,100,54
1131105,1131105,三鷹,139.560325,35.702683,1131106,1131106,国分寺,139.480841,35.700123,6,11311,JR中央本線(東京～塩尻),223,100,54
1131106,1131106,国分寺,139.480841,35.700123,1131107,1130325,立川,139.413704,35.698202,6,11311,JR中央本線(東京～塩尻),223,100,54
1131107,1130325,立川,139.413704,35.698202,1131108,1131108,日野,139.39393,35.679244,3,11311,JR中央本線(東京～塩尻),223,100,54
1131108,1131108,日野,139.39393,35.679244,1131109,1131109,豊田,139.381495,35.659502,3,11311,JR中央本線(東京～塩尻),223,100,54
1131109,1131109,豊田,139.381495,35.659502,1131110,1130620,八王子,139.338998,35.655555,4,11311,JR中央本線(東京～塩尻),223,100,54
1131110,1130620,八王子,139.338998,35.655555,1131111,1131111,西八王子,139.31264,35.656621,2,11311,JR中央本線(東京～塩尻),223,100,54
1131111,1131111,西八王子,139.31264,35.656621,1131112,1131112,高尾,139.282288,35.642026,4,11311,JR中央本線(東京～塩尻),223,100,54
