fromID,fromGroupID,fromName,toID,toGroupID,toName,time,routeID,routeName
1131226,1131226,国立,1131227,1130325,立川,4,11312,JR中央線(快速)
1131227,1130325,立川,1131228,1131108,日野,3,11312,JR中央線(快速)
1131228,1131108,日野,1131229,1131109,豊田,3,11312,JR中央線(快速)
1131229,1131109,豊田,1131230,1130620,八王子,4,11312,JR中央線(快速)
1131230,1130620,八王子,1131231,1131111,西八王子,2,11312,JR中央線(快速)
1131231,1131111,西八王子,1131232,1131112,高尾,4,11312,JR中央線(快速)
1131301,1131105,三鷹,1131302,1131104,吉祥寺,2,11313,JR中央・総武緩行線
1131302,1131104,吉祥寺,1131303,1131218,西荻窪,2,11313,JR中央・総武緩行線
1131303,1131218,西荻窪,1131304,1131217,荻窪,3,11313,JR中央・総武緩行線
1131304,1131217,荻窪,1131305,1131216,阿佐ケ谷,2,11313,JR中央・総武緩行線
1131305,1131216,阿佐ケ谷,1131306,1131215,高円寺,2,11313,JR中央・総武緩行線
1131306,1131215,高円寺,1131307,1131214,中野,2,11313,JR中央・総武緩行線
1131307,1131214,中野,1131308,1131308,東中野,3,11313,JR中央・総武緩行線
1131308,1131308,東中野,1131309,1131309,大久保,2,11313,JR中央・総武緩行線
1131309,1131309,大久保,1131310,1130208,新宿,3,11313,JR中央・総武緩行線
1131310,1130208,新宿,1131311,1130207,代々木,1,11313,JR中央・総武緩行線
1131311,1130207,代々木,1131312,1131312,千駄ケ谷,2,11313,JR中央・総武緩行線
1131312,1131312,千駄ケ谷,1131313,1131313,信濃町,2,11313,JR中央・総武緩行線
1131313,1131313,信濃町,1131314,1131102,四ツ谷,2,11313,JR中央・総武緩行線
1131314,1131102,四ツ谷,1131315,1131315,市ケ谷,2,11313,JR中央・総武緩行線
1131315,1131315,市ケ谷,1131316,1131316,飯田橋,2,11313,JR中央・総武緩行線
1131316,1131316,飯田橋,1131317,1131317,水道橋,2,11313,JR中央・総武緩行線
1131317,1131317,水道橋,1131318,1131203,御茶ノ水,2,11313,JR中央・総武緩行線
1131318,1131203,御茶ノ水,1131319,1130222,秋葉原,2,11313,JR中央・総武緩行線
1131319,1130222,秋葉原,1131320,1131320,浅草橋,2,11313,JR中央・総武緩行線
1131320,1131320,浅草橋,1131321,1131321,両国,2,11313,JR中央・総武緩行線
1131321,1131321,両国,1131322,1131322,錦糸町,3,11313,JR中央・総武緩行線
1131322,1131322,錦糸町,1131323,1131323,亀戸,2,11313,JR中央・総武緩行線
1131323,1131323,亀戸,1131324,1131324,平井,3,11313,JR中央・総武緩行線
1131324,1131324,平井,1131325,1131325,新小岩,2,11313,JR中央・総武緩行線
1131325,1131325,新小岩,1131326,1131326,小岩,3,11313,JR中央・総武緩行線
1131401,1130101,東京,1131402,1131402,新日本橋,2,11314,JR総武本線
1131402,1131402,新日本橋,1131403,1131403,馬喰町,2,11314,JR総武本線
1131403,1131403,馬喰町,1131404,1131322,錦糸町,4,11314,JR総武本線
1131404,1131322,錦糸町,1131405,1131325,新小岩,7,11314,JR総武本線
1131501,1130325,立川,1131502,1131502,西立川,4,11315,JR青梅線
1131502,1131502,西立川,1131503,1131503,東中神,1,11315,JR青梅線
1131503,1131503,東中神,1131504,1131504,中神,2,11315,JR青梅線
1131504,1131504,中神,1131505,1131505,昭島,2,11315,JR青梅線
1131505,1131505,昭島,1131506,1131506,拝島,3,11315,JR青梅線
1131506,1131506,拝島,1131507,1131507,牛浜,3,11315,JR青梅線
1131507,1131507,牛浜,1131508,1131508,福生,2,11315,JR青梅線
1131508,1131508,福生,1131509,1131509,羽村,2,11315,JR青梅線
1131509,1131509,羽村,1131510,1131510,小作,3,11315,JR青梅線
1131510,1131510,小作,1131511,1131511,河辺,3,11315,JR青梅線
1131511,1131511,河辺,1131512,1131512,東青梅,2,11315,JR青梅線
1131512,1131512,東青梅,1131513,1131513,青梅,3,11315,JR青梅線
1131513,1131513,青梅,1131514,1131514,宮ノ平,3,11315,JR青梅線
1131514,1131514,宮ノ平,1131515,1131515,日向和田,2,11315,JR青梅線
1131515,1131515,日向和田,1131516,1131516,石神前,2,11315,JR青梅線
1131516,1131516,石神前,1131517,1131517,二俣尾,2,11315,JR青梅線
1131517,1131517,二俣尾,1131518,1131518,軍畑,2,11315,JR青梅線
1131518,1131518,軍畑,1131519,1131519,沢井,2,11315,JR青梅線
1131519,1131519,沢井,1131520,1131520,御嶽,3,11315,JR青梅線
1131520,1131520,御嶽,1131521,1131521,川井,4,11315,JR青梅線
1131521,1131521,川井,1131522,1131522,古里,3,11315,JR青梅線
1131522,1131522,古里,1131523,1131523,鳩ノ巣,4,11315,JR青梅線
1131523,1131523,鳩ノ巣,1131524,1131524,白丸,2,11315,JR青梅線
1131524,1131524,白丸,1131525,1131525,奥多摩,3,11315,JR青梅線
1131601,1131506,拝島,1131602,1131602,熊川,1,11316,JR五日市線
1131602,1131602,熊川,1131603,1131603,東秋留,3,11316,JR五日市線
1131603,1131603,東秋留,1131604,1131604,秋川,4,11316,JR五日市線
1131604,1131604,秋川,1131605,1131605,武蔵引田,2,11316,JR五日市線
1131605,1131605,武蔵引田,1131606,1131606,武蔵増戸,3,11316,JR五日市線
1131606,1131606,武蔵増戸,1131607,1131607,武蔵五日市,4,11316,JR五日市線
1131701,1130620,八王子,1131702,1131702,北八王子,3,11317,JR八高線(八王子～高麗川)
1131702,1131702,北八王子,1131703,1131703,小宮,3,11317,JR八高線(八王子～高麗川)
1131703,1131703,小宮,1131704,1131506,拝島,6,11317,JR八高線(八王子～高麗川)
1131704,1131506,拝島,1131705,1131705,東福生,4,11317,JR八高線(八王子～高麗川)
1131705,1131705,東福生,1131706,1131706,箱根ケ崎,4,11317,JR八高線(八王子～高麗川)
1131901,1130220,上野,1131902,1131902,尾久,5,11319,JR東北本線
1131902,1131902,尾久,1131903,1131903,赤羽,5,11319,JR東北本線
1132001,1130220,上野,1132002,1130218,日暮里,3,11320,JR常磐線(上野～取手)
1132002,1130218,日暮里,1132003,1132003,三河島,3,11320,JR常磐線(上野～取手)
1132003,1132003,三河島,1132004,1132004,南千住,3,11320,JR常磐線(上野～取手)
